18:54:3  server on
18:54:8  world time : 00年02日23时58分
18:54:15  world time : 00年02日23时59分
18:54:20  world time : 00年03日00时00分
18:54:20  world time update--> 00年03日00时00分
18:54:25  world time : 00年03日00时01分
18:54:30  world time : 00年03日00时02分
18:54:31  52ecae74de76df040b09cccc join the game!
18:54:35  world time : 00年03日00时03分
18:54:35  world time update--> 00年03日00时03分
18:54:40  world time : 00年03日00时04分
18:54:45  world time : 00年03日00时05分
18:54:50  world time : 00年03日00时06分
18:54:50  world time update--> 00年03日00时06分
18:54:55  world time : 00年03日00时07分
18:55:0  world time : 00年03日00时08分
18:55:5  world time : 00年03日00时09分
18:55:5  world time update--> 00年03日00时09分
18:55:10  world time : 00年03日00时10分
18:55:15  world time : 00年03日00时11分
18:55:20  world time : 00年03日00时12分
18:55:20  world time update--> 00年03日00时12分
18:55:25  world time : 00年03日00时13分
18:55:30  world time : 00年03日00时14分
18:55:35  world time : 00年03日00时15分
18:55:35  world time update--> 00年03日00时15分
18:55:40  world time : 00年03日00时16分
18:55:45  world time : 00年03日00时17分
18:55:50  world time : 00年03日00时18分
18:55:50  world time update--> 00年03日00时18分
18:55:55  world time : 00年03日00时19分
18:56:0  world time : 00年03日00时20分
18:56:5  world time : 00年03日00时21分
18:56:5  world time update--> 00年03日00时21分
18:56:10  world time : 00年03日00时22分
18:56:15  world time : 00年03日00时23分
18:56:20  world time : 00年03日00时24分
18:56:20  world time update--> 00年03日00时24分
18:56:25  world time : 00年03日00时25分
18:56:30  world time : 00年03日00时26分
18:56:35  world time : 00年03日00时27分
18:56:35  world time update--> 00年03日00时27分
18:56:40  world time : 00年03日00时28分
18:56:45  world time : 00年03日00时29分
18:56:50  52e3e7e621cd27b412872063 join the game!
18:56:50  world time : 00年03日00时30分
18:56:50  world time update--> 00年03日00时30分
18:56:55  world time : 00年03日00时31分
18:57:0  world time : 00年03日00时32分
18:57:5  world time : 00年03日00时33分
18:57:5  world time update--> 00年03日00时33分
18:57:10  world time : 00年03日00时34分
18:57:15  world time : 00年03日00时35分
18:57:20  world time : 00年03日00时36分
18:57:20  world time update--> 00年03日00时36分
18:57:25  world time : 00年03日00时37分
18:57:30  world time : 00年03日00时38分
18:57:35  world time : 00年03日00时39分
18:57:35  world time update--> 00年03日00时39分
18:57:40  world time : 00年03日00时40分
18:57:45  world time : 00年03日00时41分
18:57:50  world time : 00年03日00时42分
18:57:50  world time update--> 00年03日00时42分
18:57:55  world time : 00年03日00时43分
18:58:0  world time : 00年03日00时44分
18:58:1  WzwLwCenu1F4jS6T1UI5 say to world : hello
18:58:5  world time : 00年03日00时45分
18:58:5  world time update--> 00年03日00时45分
18:58:10  world time : 00年03日00时46分
18:58:15  world time : 00年03日00时47分
18:58:21  world time : 00年03日00时48分
18:58:21  world time update--> 00年03日00时48分
18:58:26  world time : 00年03日00时49分
18:58:31  world time : 00年03日00时50分
18:58:36  world time : 00年03日00时51分
18:58:36  world time update--> 00年03日00时51分
18:58:41  world time : 00年03日00时52分
18:58:46  world time : 00年03日00时53分
18:58:51  world time : 00年03日00时54分
18:58:51  world time update--> 00年03日00时54分
18:58:56  world time : 00年03日00时55分
18:59:1  world time : 00年03日00时56分
18:59:6  world time : 00年03日00时57分
18:59:6  world time update--> 00年03日00时57分
18:59:11  world time : 00年03日00时58分
18:59:16  world time : 00年03日00时59分
18:59:21  world time : 00年03日01时00分
18:59:21  world time update--> 00年03日01时00分
18:59:26  world time : 00年03日01时01分
18:59:31  world time : 00年03日01时02分
18:59:36  world time : 00年03日01时03分
18:59:36  world time update--> 00年03日01时03分
18:59:41  world time : 00年03日01时04分
18:59:46  world time : 00年03日01时05分
18:59:51  world time : 00年03日01时06分
18:59:51  world time update--> 00年03日01时06分
18:59:56  world time : 00年03日01时07分
19:0:1  world time : 00年03日01时08分
19:0:6  world time : 00年03日01时09分
19:0:6  world time update--> 00年03日01时09分
19:0:11  world time : 00年03日01时10分
19:0:16  world time : 00年03日01时11分
19:0:21  world time : 00年03日01时12分
19:0:21  world time update--> 00年03日01时12分
19:0:26  world time : 00年03日01时13分
19:0:31  world time : 00年03日01时14分
19:0:36  world time : 00年03日01时15分
19:0:36  world time update--> 00年03日01时15分
19:0:41  world time : 00年03日01时16分
19:0:46  world time : 00年03日01时17分
19:0:51  world time : 00年03日01时18分
19:0:51  world time update--> 00年03日01时18分
19:0:56  world time : 00年03日01时19分
19:1:1  world time : 00年03日01时20分
19:1:6  world time : 00年03日01时21分
19:1:6  world time update--> 00年03日01时21分
19:1:11  world time : 00年03日01时22分
19:1:16  world time : 00年03日01时23分
19:1:21  world time : 00年03日01时24分
19:1:21  world time update--> 00年03日01时24分
19:1:26  world time : 00年03日01时25分
19:1:31  world time : 00年03日01时26分
19:1:36  world time : 00年03日01时27分
19:1:36  world time update--> 00年03日01时27分
19:1:41  world time : 00年03日01时28分
19:1:46  world time : 00年03日01时29分
19:1:51  world time : 00年03日01时30分
19:1:51  world time update--> 00年03日01时30分
19:1:56  world time : 00年03日01时31分
19:2:1  world time : 00年03日01时32分
19:2:6  world time : 00年03日01时33分
19:2:6  world time update--> 00年03日01时33分
19:2:11  world time : 00年03日01时34分
19:2:16  world time : 00年03日01时35分
19:2:21  world time : 00年03日01时36分
19:2:21  world time update--> 00年03日01时36分
19:2:26  world time : 00年03日01时37分
19:2:31  world time : 00年03日01时38分
19:2:36  world time : 00年03日01时39分
19:2:36  world time update--> 00年03日01时39分
19:2:41  world time : 00年03日01时40分
19:2:46  world time : 00年03日01时41分
19:2:51  world time : 00年03日01时42分
19:2:51  world time update--> 00年03日01时42分
19:2:56  world time : 00年03日01时43分
19:3:1  world time : 00年03日01时44分
19:3:6  world time : 00年03日01时45分
19:3:6  world time update--> 00年03日01时45分
19:3:11  world time : 00年03日01时46分
19:3:16  world time : 00年03日01时47分
19:3:21  world time : 00年03日01时48分
19:3:21  world time update--> 00年03日01时48分
19:3:26  world time : 00年03日01时49分
19:3:31  world time : 00年03日01时50分
19:3:36  world time : 00年03日01时51分
19:3:36  world time update--> 00年03日01时51分
19:3:41  world time : 00年03日01时52分
19:3:46  world time : 00年03日01时53分
19:3:51  world time : 00年03日01时54分
19:3:51  world time update--> 00年03日01时54分
19:3:56  world time : 00年03日01时55分
19:4:1  world time : 00年03日01时56分
19:4:6  world time : 00年03日01时57分
19:4:6  world time update--> 00年03日01时57分
19:4:11  world time : 00年03日01时58分
19:4:16  world time : 00年03日01时59分
19:4:21  world time : 00年03日02时00分
19:4:21  world time update--> 00年03日02时00分
19:4:26  world time : 00年03日02时01分
19:4:31  world time : 00年03日02时02分
19:4:36  world time : 00年03日02时03分
19:4:36  world time update--> 00年03日02时03分
19:4:41  world time : 00年03日02时04分
19:4:46  world time : 00年03日02时05分
19:4:51  world time : 00年03日02时06分
19:4:51  world time update--> 00年03日02时06分
19:4:56  world time : 00年03日02时07分
19:5:1  world time : 00年03日02时08分
19:5:6  world time : 00年03日02时09分
19:5:6  world time update--> 00年03日02时09分
